data_referencia,declaracoes,transmitidas,em_revisao,clientes_com_alguma_documentacao,clientes_docs_completos,clientes_docs_parciais,clientes_sem_documentacao,pct_transmitidas,pct_docs_completos
2026-04-23,217,0,25,63,38,25,155,0.0,17.4
2026-04-24,218,0,28,63,38,25,156,0.0,17.4
